# group,level,file,bytes,fetched_date -- AUTO-GENERATED by tools/build_maps_catalog.py; do not edit by hand
# Whole-world pmtiles from https://iiab.switnet.org/maps/2 (roles/maps/defaults dates). The app sends 'file' as the download id; the box composes the URL.
base,nat-z8,naturalearth-openmaptiles.2025-12-10.z00-z08.pmtiles,89435511,2026-09-07
base,11,openstreetmap-openmaptiles.2026-07-01.z00-z11.pmtiles,9010265257,2026-09-07
base,14,openstreetmap-openmaptiles.2026-07-01.z00-z14.pmtiles,87411164966,2026-09-07
satellite,7,s2maps-sentinel2-2023.2025-12-10.z00-z07.pmtiles,88772638,2026-09-07
satellite,9,s2maps-sentinel2-2023.2025-12-10.z00-z09.pmtiles,1247283362,2026-09-07
satellite,11,s2maps-sentinel2-2023.2025-12-10.z00-z11.pmtiles,22312696177,2026-09-07
satellite,13,s2maps-sentinel2-2023.2025-12-10.z00-z13.pmtiles,290318099827,2026-09-07
terrain,7,terrarium.2025-12-10.z00-z07.pmtiles,978219778,2026-09-07
terrain,8,terrarium.2025-12-10.z00-z08.pmtiles,6427331113,2026-09-07
terrain,9,terrarium.2025-12-10.z00-z09.pmtiles,28621213143,2026-09-07
terrain,10,terrarium.2025-12-10.z00-z10.pmtiles,106207946492,2026-09-07
search,pop-1k-cities,static-search.2026-04-22.pop-1k-cities.tar.gz,16111581,2026-09-07
