category,tag,detail,links
k2go,main.settings,yes,
k2go,main.share_qr,yes,
k2go,main.theme_toggle,no,
k2go,main.version,no,
k2go,usage.wifi,yes,
k2go,usage.hotspot,yes,
k2go,usage.browse_content,no,
k2go,usage.server_control,yes,
k2go,usage.dns_settings,no,
k2go,usage.dns_check,yes,
k2go,usage.dns_accept,no,
k2go,usage.log,no,
k2go,usage.clear_log,no,
k2go,usage.copy_log,no,
k2go,sync.mode_share,no,
k2go,sync.mode_receive,no,
k2go,sync.net_wifi,no,
k2go,sync.net_hotspot,no,
k2go,sync.start_server,no,
k2go,sync.share_app,yes,
k2go,sync.scan_qr,no,
k2go,sync.cancel_transfer,no,
k2go,dashboard.flip_gauges,no,
k2go,dashboard.modules_title,no,
k2go,about.analytics_consent,yes,
k2go,feedback.category,no,
k2go,feedback.send,no,
k2go,feedback.force_crash,no,
